grid_id,long,lat,marine_species_richness,PD,co1_genetic_diversity_mean,,,,,,,,,,,,
1,-17174579,-7123536,44,11.83084374,0.007170548,,,,,,,,,,,,
2,-16788679,-7123536,43,11.83084374,0.007170548,,,,,,,,,,,,
3,-16402779,-7123536,44,12.65038116,0.007498695,,,,,,,,,,,,
4,-16016879,-7123536,44,12.65038116,0.007498695,,,,,,,,,,,,
5,-15630979,-7123536,45,12.65038116,0.007498695,,,,,,,,,,,,
6,-15245079,-7123536,44,12.65038116,0.007498695,,,,,,,,,,,,
7,-14859179,-7123536,38,12.21879219,0.005759863,,,,,,,,,,,,
8,-14473279,-7123536,38,11.76628828,0.00616578,,,,,,,,,,,,
9,-14087379,-7123536,37,11.64032127,0.006286397,,,,,,,,,,,,
30,-5983479,-7123536,34,11.39051555,0.004906537,,,,,,,,,,,,
31,-5597579,-7123536,36,11.74368843,0.004906537,,,,,,,,,,,,
32,-5211679,-7123536,39,11.74368843,0.004906537,,,,,,,,,,,,
33,-4825779,-7123536,38,11.12560158,0.004878521,,,,,,,,,,,,
34,-4439879,-7123536,38,11.12560158,0.004878521,,,,,,,,,,,,
35,-4053979,-7123536,37,11.08048708,0.004878521,,,,,,,,,,,,
36,-3668079,-7123536,36,11.08048708,0.004878521,,,,,,,,,,,,
37,-3282179,-7123536,36,11.08048708,0.004878521,,,,,,,,,,,,
38,-2896279,-7123536,36,11.08048708,0.004878521,,,,,,,,,,,,
39,-2510379,-7123536,35,10.7724287,0.004878521,,,,,,,,,,,,
87,16012821,-7123536,34,11.28733879,0.005524836,,,,,,,,,,,,
88,16398721,-7123536,37,11.50090651,0.005524836,,,,,,,,,,,,
89,16784621,-7123536,35,10.76507522,0.004985879,,,,,,,,,,,,
90,17170521,-7123536,42,11.53478914,0.007339011,,,,,,,,,,,,
92,-17174579,-6737636,60,14.49925943,0.007745345,,,,,,,,,,,,
93,-16788679,-6737636,67,15.28164301,0.008325293,,,,,,,,,,,,
94,-16402779,-6737636,66,14.77228686,0.008491031,,,,,,,,,,,,
95,-16016879,-6737636,67,14.93679335,0.008325441,,,,,,,,,,,,
96,-15630979,-6737636,67,14.93679335,0.008325441,,,,,,,,,,,,
97,-15245079,-6737636,66,14.47469844,0.008442348,,,,,,,,,,,,
98,-14859179,-6737636,66,14.47469844,0.008442348,,,,,,,,,,,,
99,-14473279,-6737636,67,15.09838859,0.008550385,,,,,,,,,,,,
100,-14087379,-6737636,61,14.40377259,0.009112716,,,,,,,,,,,,
101,-13701479,-6737636,62,14.76698145,0.009087162,,,,,,,,,,,,
102,-13315579,-6737636,59,13.74466033,0.009252694,,,,,,,,,,,,
103,-12929679,-6737636,61,14.18731445,0.008033018,,,,,,,,,,,,
104,-12543779,-6737636,61,14.18731445,0.008033018,,,,,,,,,,,,
105,-12157879,-6737636,65,14.80188595,0.008677638,,,,,,,,,,,,
106,-11771979,-6737636,66,14.41126137,0.009029109,,,,,,,,,,,,
107,-11386079,-6737636,67,14.78574081,0.008938181,,,,,,,,,,,,
108,-11000179,-6737636,67,14.78574081,0.008938181,,,,,,,,,,,,
109,-10614279,-6737636,66,14.68294777,0.008938181,,,,,,,,,,,,
110,-10228379,-6737636,58,14.42189105,0.008916415,,,,,,,,,,,,
111,-9842479,-6737636,56,15.00610077,0.007734436,,,,,,,,,,,,
112,-9456579,-6737636,58,15.01986069,0.007614007,,,,,,,,,,,,
113,-9070679,-6737636,58,15.25219778,0.007082789,,,,,,,,,,,,
114,-8684779,-6737636,62,15.33466459,0.006811627,,,,,,,,,,,,
115,-8298879,-6737636,64,15.41723445,0.00768213,,,,,,,,,,,,
116,-7912979,-6737636,63,15.53471206,0.007913301,,,,,,,,,,,,
117,-7527079,-6737636,64,15.53471206,0.007913301,,,,,,,,,,,,
118,-7141179,-6737636,67,15.92656103,0.007819779,,,,,,,,,,,,
119,-6755279,-6737636,64,15.96133356,0.008225981,,,,,,,,,,,,
120,-6369379,-6737636,62,15.70549171,0.006907569,,,,,,,,,,,,
121,-5983479,-6737636,59,17.57049542,0.00602183,,,,,,,,,,,,
122,-5597579,-6737636,56,16.13702981,0.006102332,,,,,,,,,,,,
123,-5211679,-6737636,59,16.5789983,0.006933598,,,,,,,,,,,,
124,-4825779,-6737636,52,15.92100186,0.005425364,,,,,,,,,,,,
125,-4439879,-6737636,50,14.71075231,0.005943331,,,,,,,,,,,,
126,-4053979,-6737636,50,14.20139616,0.006076135,,,,,,,,,,,,
127,-3668079,-6737636,48,12.52900591,0.00683674,,,,,,,,,,,,
128,-3282179,-6737636,46,12.30129086,0.006904641,,,,,,,,,,,,
129,-2896279,-6737636,46,12.30129086,0.006904641,,,,,,,,,,,,
130,-2510379,-6737636,46,12.30129086,0.006904641,,,,,,,,,,,,
131,-2124479,-6737636,43,12.18755115,0.005834421,,,,,,,,,,,,
